Planet,Position,Degrees,Rasi,Rasi Lord,Nakshatra,Nakshatra Lord
Sun,138° 19',18° 19′,Simha,Sun,Purva Phalguni,Venus
Moon,265° 22',25° 22′,Dhanu,Jupiter,Purva Ashadha,Venus
Mercury,164° 54',14° 54′,Kanya,Mercury,Hasta,Moon
Venus,142° 28',22° 28′,Simha,Sun,Purva Phalguni,Venus
Mars,184° 47',4° 47′,Tula,Venus,Chitra,Mars
Jupiter,223° 23',13° 23′,Vrischika,Mars,Anuradha,Saturn
Saturn,328° 15',28° 15′,Kumbha,Saturn,Purva Bhadrapada,Jupiter
Ascendant,183° 20',3° 20′,Tula,Venus,Chitra,Mars
Rahu,184° 52',4° 52′,Tula,Venus,Chitra,Mars
Ketu,4° 52',4° 52′,Mesha,Mars,Ashwini,Ketu
